电影名称,电影评分,评分人数,一句话描述,豆瓣链接
新龙门客栈,8.5,204215,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
终结者2：审判日,8.6,154360,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
末路狂花,8.7,115021,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
秒速5厘米,8.3,332142,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/
碧海蓝天,8.7,113031,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://movie.douban.com/subject/1300960/
绿里奇迹,8.7,117020,天使暂时离开。,https://movie.douban.com/subject/1300374/
步履不停,8.8,94507,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
这个男人来自地球,8.5,199930,科幻真正的魅力不是视觉效果能取代的。 ,https://movie.douban.com/subject/2300586/
勇闯夺命岛,8.6,153176,类型片的极致。 ,https://movie.douban.com/subject/1292728/
城市之光,9.2,49696,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
海盗电台,8.6,175220,生命不止，摇滚不死。,https://movie.douban.com/subject/3007773/
初恋这件小事,8.3,505229,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
无耻混蛋,8.4,242280,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
卡萨布兰卡,8.6,135056,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,https://movie.douban.com/subject/1296753/
海街日记,8.7,151796, ,https://movie.douban.com/subject/25895901/
无敌破坏王,8.7,204193,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
变脸,8.4,231078,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,https://movie.douban.com/subject/1292659/
爱在午夜降临前,8.8,129198,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
E.T. 外星人,8.5,168120,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/
疯狂的石头,8.3,350518,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
发条橙,8.5,200274,我完全康复了。,https://movie.douban.com/subject/1292233/
黄金三镖客,9.1,56771,最棒的西部片。,https://movie.douban.com/subject/1401118/
美国丽人,8.5,200077,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/
荒野生存,8.6,137247,出门必备：本草纲目。,https://movie.douban.com/subject/1905462/
迁徙的鸟,9.1,54713,最美的飞翔。,https://movie.douban.com/subject/1292281/
英国病人,8.5,185136,"In memory, love lives forever...",https://movie.douban.com/subject/1291853/
彗星来的那一夜,8.4,203799,小成本大魅力。,https://movie.douban.com/subject/25807345/
国王的演讲,8.3,367876,皇上无话儿。,https://movie.douban.com/subject/4023638/
血钻,8.5,146735,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
非常嫌疑犯,8.6,126489,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/
聚焦,8.8,140901, ,https://movie.douban.com/subject/25954475/
燕尾蝶,8.6,113150,现实与童话交相辉映的旅程。,https://movie.douban.com/subject/1307793/
勇士,8.9,93524,热血沸腾，相当完美的娱乐拳击大餐。,https://movie.douban.com/subject/3217169/
穆赫兰道,8.3,252773,大卫·林奇的梦境迷宫。,https://movie.douban.com/subject/1292217/
叫我第一名,8.6,116728,乐观比一切都有力量。,https://movie.douban.com/subject/4798888/
遗愿清单,8.5,143615,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
黑鹰坠落,8.6,128362,还原真实而残酷的战争。,https://movie.douban.com/subject/1291824/
枪火,8.6,108497,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
我爱你,9.0,64108,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
上帝也疯狂,8.6,102864,纯净原始的笑与感动。,https://movie.douban.com/subject/1297478/
荒岛余生,8.5,147580,一个人的独角戏。,https://movie.douban.com/subject/1298653/
大卫·戈尔的一生,8.6,103903,捍卫人权只是信仰，一点不妨碍其行为的残忍。,https://movie.douban.com/subject/1305725/
千钧一发,8.7,95068,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
2001太空漫游,8.7,103620,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
蓝色大门,8.3,287227,青春的窃窃私语。 ,https://movie.douban.com/subject/1308575/
